District,Member,Position,Counties,Chamber
1,"McAuliffe, Rosemary (D)",0,"King (P), Snohomish (P)",S
1,"Stanford, Derek (D)",1,"King (P), Snohomish (P)",H
1,"Moscoso, Luis (D)",2,"King (P), Snohomish (P)",H
2,"Becker, Randi (R)",0,"Pierce (P), Thurston (P)",S
2,"Barkis, Andrew (R)",1,"Pierce (P), Thurston (P)",H
2,"Wilcox, J.T. (R)",2,"Pierce (P), Thurston (P)",H
3,"Billig, Andy (D)",0,Spokane (P),S
3,"Riccelli, Marcus (D)",1,Spokane (P),H
3,"Ormsby, Timm (D)",2,Spokane (P),H
4,"Padden, Mike (R)",0,Spokane (P),S
4,"Shea, Matt (R)",1,Spokane (P),H
4,"McCaslin, Bob (R)",2,Spokane (P),H
5,"Mullet, Mark (D)",0,King (P),S
5,"Rodne, Jay (R)",1,King (P),H
5,"Magendanz, Chad (R)",2,King (P),H
6,"Baumgartner, Michael (R)",0,Spokane (P),S
6,"Parker, Kevin (R)",1,Spokane (P),H
6,"Holy, Jeff (R)",2,Spokane (P),H
7,"Dansel, Brian (R)",0,"Ferry, Okanogan (P), Pend Oreille, Spokane (P), Stevens",S
7,"Short, Shelly (R)",1,"Ferry, Okanogan (P), Pend Oreille, Spokane (P), Stevens",H
7,"Kretz, Joel (R)",2,"Ferry, Okanogan (P), Pend Oreille, Spokane (P), Stevens",H
8,"Brown, Sharon (R)",0,Benton (P),S
8,"Klippert, Brad (R)",1,Benton (P),H
8,"Haler, Larry (R)",2,Benton (P),H
9,"Schoesler, Mark (R)",0,"Adams, Asotin, Franklin (P), Garfield, Spokane (P), Whitman",S
9,"Dye, Mary (R)",1,"Adams, Asotin, Franklin (P), Garfield, Spokane (P), Whitman",H
9,"Schmick, Joe (R)",2,"Adams, Asotin, Franklin (P), Garfield, Spokane (P), Whitman",H
10,"Bailey, Barbara (R)",0,"Island, Skagit (P), Snohomish (P)",S
10,"Smith, Norma (R)",1,"Island, Skagit (P), Snohomish (P)",H
10,"Hayes, Dave (R)",2,"Island, Skagit (P), Snohomish (P)",H
11,"Hasegawa, Bob (D)",0,King (P),S
11,"Hudgins, Zack (D)",1,King (P),H
11,"Bergquist, Steve (D)",2,King (P),H
12,"Parlette, Linda Evans (R)",0,"Chelan, Douglas, Grant (P), Okanogan (P)",S
12,"Condotta, Cary (R)",1,"Chelan, Douglas, Grant (P), Okanogan (P)",H
12,"Hawkins, Brad (R)",2,"Chelan, Douglas, Grant (P), Okanogan (P)",H
13,"Warnick, Judy (R)",0,"Grant (P), Kittitas, Lincoln, Yakima (P)",S
13,"Dent, Tom (R)",1,"Grant (P), Kittitas, Lincoln, Yakima (P)",H
13,"Manweller, Matt (R)",2,"Grant (P), Kittitas, Lincoln, Yakima (P)",H
14,"King, Curtis (R)",0,"Clark (P), Klickitat, Skamania, Yakima (P)",S
14,"Johnson, Norm (R)",1,"Clark (P), Klickitat, Skamania, Yakima (P)",H
14,"McCabe, Gina (R)",2,"Clark (P), Klickitat, Skamania, Yakima (P)",H
15,"Honeyford, Jim (R)",0,Yakima (P),S
15,"Chandler, Bruce (R)",1,Yakima (P),H
15,"Taylor, David (R)",2,Yakima (P),H
16,"Hewitt, Mike (R)",0,"Benton (P), Columbia, Franklin (P), Walla Walla",S
16,"Walsh, Maureen (R)",1,"Benton (P), Columbia, Franklin (P), Walla Walla",H
16,"Nealey, Terry (R)",2,"Benton (P), Columbia, Franklin (P), Walla Walla",H
17,"Benton, Don (R)",0,Clark (P),S
17,"Wilson, Lynda (R)",1,Clark (P),H
17,"Harris, Paul (R)",2,Clark (P),H
18,"Rivers, Ann (R)",0,Clark (P),S
18,"Vick, Brandon (R)",1,Clark (P),H
18,"Pike, Liz (R)",2,Clark (P),H
19,"Takko, Dean (D)",0,"Cowlitz (P), Grays Harbor (P), Lewis (P), Pacific, Wahkiakum",S
19,"Rossetti, JD (D)",1,"Cowlitz (P), Grays Harbor (P), Lewis (P), Pacific, Wahkiakum",H
19,"Blake, Brian (D)",2,"Cowlitz (P), Grays Harbor (P), Lewis (P), Pacific, Wahkiakum",H
20,"Braun, John (R)",0,"Clark (P), Cowlitz (P), Lewis (P), Thurston (P)",S
20,"DeBolt, Richard (R)",1,"Clark (P), Cowlitz (P), Lewis (P), Thurston (P)",H
20,"Orcutt, Ed (R)",2,"Clark (P), Cowlitz (P), Lewis (P), Thurston (P)",H
21,"Liias, Marko (D)",0,Snohomish (P),S
21,"Peterson, Strom (D)",1,Snohomish (P),H
21,"Ortiz-Self, Lillian (D)",2,Snohomish (P),H
22,"Fraser, Karen (D)",0,Thurston (P),S
22,"Reykdal, Chris (D)",1,Thurston (P),H
22,"Hunt, Sam (D)",2,Thurston (P),H
23,"Rolfes, Christine (D)",0,Kitsap (P),S
23,"Appleton, Sherry (D)",1,Kitsap (P),H
23,"Hansen, Drew (D)",2,Kitsap (P),H
24,"Hargrove, Jim (D)",0,"Clallam, Grays Harbor (P), Jefferson",S
24,"Van De Wege, Kevin (D)",1,"Clallam, Grays Harbor (P), Jefferson",H
24,"Tharinger, Steve (D)",2,"Clallam, Grays Harbor (P), Jefferson",H
25,"Dammeier, Bruce (R)",0,Pierce (P),S
25,"Stambaugh, Melanie (R)",1,Pierce (P),H
25,"Zeiger, Hans (R)",2,Pierce (P),H
26,"Angel, Jan (R)",0,"Kitsap (P), Pierce (P)",S
26,"Young, Jesse (R)",1,"Kitsap (P), Pierce (P)",H
26,"Caldier, Michelle (R)",2,"Kitsap (P), Pierce (P)",H
27,"Darneille, Jeannie (D)",0,Pierce (P),S
27,"Jinkins, Laurie (D)",1,Pierce (P),H
27,"Fey, Jake (D)",2,Pierce (P),H
28,"O'Ban, Steve (R)",0,Pierce (P),S
28,"Muri, Dick (R)",1,Pierce (P),H
28,"Kilduff, Christine (D)",2,Pierce (P),H
29,"Conway, Steve (D)",0,Pierce (P),S
29,"Sawyer, David (D)",1,Pierce (P),H
29,"Kirby, Steve (D)",2,Pierce (P),H
30,"Miloscia, Mark (R)",0,"King (P), Pierce (P)",S
30,"Kochmar, Linda (R)",1,"King (P), Pierce (P)",H
30,"Hickel, Teri (R)",2,"King (P), Pierce (P)",H
31,"Roach, Pam (R)",0,"King (P), Pierce (P)",S
31,"Stokesbary, Drew (R)",1,"King (P), Pierce (P)",H
31,"Hurst, Christopher (D)",2,"King (P), Pierce (P)",H
32,"Chase, Maralyn (D)",0,"King (P), Snohomish (P)",S
32,"Ryu, Cindy (D)",1,"King (P), Snohomish (P)",H
32,"Kagi, Ruth (D)",2,"King (P), Snohomish (P)",H
33,"Keiser, Karen (D)",0,King (P),S
33,"Orwall, Tina (D)",1,King (P),H
33,"Gregerson, Mia (D)",2,King (P),H
34,"Nelson, Sharon (D)",0,King (P),S
34,"Cody, Eileen (D)",1,King (P),H
34,"Fitzgibbon, Joe (D)",2,King (P),H
35,"Sheldon, Tim (D)",0,"Kitsap (P), Mason, Thurston (P)",S
35,"Griffey, Dan (R)",1,"Kitsap (P), Mason, Thurston (P)",H
35,"MacEwen, Drew (R)",2,"Kitsap (P), Mason, Thurston (P)",H
36,"Carlyle, Reuven (D)",0,King (P),S
36,"Frame, Noel (D)",1,King (P),H
36,"Tarleton, Gael (D)",2,King (P),H
37,"Jayapal, Pramila (D)",0,King (P),S
37,"Santos, Sharon Tomiko (D)",1,King (P),H
37,"Pettigrew, Eric (D)",2,King (P),H
38,"McCoy, John (D)",0,Snohomish (P),S
38,"Robinson, June (D)",1,Snohomish (P),H
38,"Sells, Mike (D)",2,Snohomish (P),H
39,"Pearson, Kirk (R)",0,"King (P), Skagit (P), Snohomish (P)",S
39,"Kristiansen, Dan (R)",1,"King (P), Skagit (P), Snohomish (P)",H
39,"Scott, Elizabeth (R)",2,"King (P), Skagit (P), Snohomish (P)",H
40,"Ranker, Kevin (D)",0,"San Juan, Skagit (P), Whatcom (P)",S
40,"Lytton, Kristine (D)",1,"San Juan, Skagit (P), Whatcom (P)",H
40,"Morris, Jeff (D)",2,"San Juan, Skagit (P), Whatcom (P)",H
41,"Litzow, Steve (R)",0,King (P),S
41,"Senn, Tana (D)",1,King (P),H
41,"Clibborn, Judy (D)",2,King (P),H
42,"Ericksen, Doug (R)",0,Whatcom (P),S
42,"Van Werven, Luanne (R)",1,Whatcom (P),H
42,"Buys, Vincent (R)",2,Whatcom (P),H
43,"Pedersen, Jamie (D)",0,King (P),S
43,"Walkinshaw, Brady (D)",1,King (P),H
43,"Chopp, Frank (D)",2,King (P),H
44,"Hobbs, Steve (D)",0,Snohomish (P),S
44,"Lovick, John (D)",1,Snohomish (P),H
44,"Harmsworth, Mark (R)",2,Snohomish (P),H
45,"Hill, Andy (R)",0,King (P),S
45,"Goodman, Roger (D)",1,King (P),H
45,"Springer, Larry (D)",2,King (P),H
46,"Frockt, David (D)",0,King (P),S
46,"Pollet, Gerry (D)",1,King (P),H
46,"Farrell, Jessyn (D)",2,King (P),H
47,"Fain, Joe (R)",0,King (P),S
47,"Hargrove, Mark (R)",1,King (P),H
47,"Sullivan, Pat (D)",2,King (P),H
48,"Habib, Cyrus (D)",0,King (P),S
48,"Kuderer, Patty (D)",1,King (P),H
48,"McBride, Joan (D)",2,King (P),H
49,"Cleveland, Annette (D)",0,Clark (P),S
49,"Wylie, Sharon (D)",1,Clark (P),H
49,"Moeller, Jim (D)",2,Clark (P),H
,,,,
(P) after county name indicates only part of the county is included in the district,,,,
Washington State Legislature,,,,
Menu Search ,,,,
Enter search terms,,,,
Go ,,,,
Washington State Legislature,,,,
Enter search terms Search,,,,
Legislature Home,,,,
House of Representatives,,,,
Senate,,,,
Find Your District Find Your District,,,,
Laws & Agency Rules,,,,
Bill Information,,,,
"Agendas, Schedules, and Calendars",,,,
Legislative Committees,,,,
Coming to the Legislature,,,,
Legislative Agencies,,,,
Legislative Information Center,,,,
Sign Up For Updates,,,,
View All Links,,,,
Main Sections,,,,
Legislature Home ,,,,
House of Representatives ,,,,
Senate ,,,,
Find Your District Find Your District ,,,,
Laws & Agency Rules ,,,,
Bill Information ,,,,
"Agendas, Schedules, & Calendars ",,,,
Legislative Committees ,,,,
Legislative Agencies ,,,,
Legislative Information Center ,,,,
Sign Up for Updates ,,,,
View all links ,,,,
Inside the Legislature,,,,
Legislature Home ,,,,
Find Your Legislator Find Your Legislator ,,,,
Senate ,,,,
Find Your District Find Your District ,,,,
Laws and Agency Rules ,,,,
Bill Information ,,,,
"Agendas, Schedules and Calendars ",,,,
Legislative Committees ,,,,
Member Information ,,,,
Coming to the Legislature ,,,,
Legislative Agencies ,,,,
Legislative Information Center ,,,,
Sign Up for Updates ,,,,
Track Bills ,,,,
Outside the Legislature,,,,
Governor's Website ,,,,
Congress - the Other Washington ,,,,
TVW ,,,,
Washington Courts ,,,,
OFM Fiscal Note Website ,,,,
Additional Information,,,,
Help ,,,,
Search ,,,,
How to Comment on a Bill ,,,,
Civic Education ,,,,
Reports to the Legislature,,,,
History of the State Legislature ,,,,
Gift Center ,,,,
Contact Us ,,,,
Glossary of Terms ,,,,
Privacy Notice ,,,,
Accessibility Information ,,,,
Disclaimer ,,,,
Comments about this site ,,,,
Translate,,,,
