ZIPCODE,DISTRICT
0,unknown
816,not in wa
1002,not in wa
1007,not in wa
1057,not in wa
1060,not in wa
1085,not in wa
1453,not in wa
1472,not in wa
1503,not in wa
1532,not in wa
1545,not in wa
1560,not in wa
1609,not in wa
1701,not in wa
1721,not in wa
1730,not in wa
1742,not in wa
1752,not in wa
1778,not in wa
1852,not in wa
1876,not in wa
1915,not in wa
1923,not in wa
1970,not in wa
1983,not in wa
2021,not in wa
2066,not in wa
2109,not in wa
2114,not in wa
2116,not in wa
2117,not in wa
2135,not in wa
2136,not in wa
2138,not in wa
2143,not in wa
2176,not in wa
2215,not in wa
2301,not in wa
2324,not in wa
2333,not in wa
2446,not in wa
2451,not in wa
2458,not in wa
2461,not in wa
2472,not in wa
2474,not in wa
2476,not in wa
2478,not in wa
2482,not in wa
2492,not in wa
2645,not in wa
2667,not in wa
2835,not in wa
2864,not in wa
2865,not in wa
2879,not in wa
2895,not in wa
2905,not in wa
2906,not in wa
2995,not in wa
3031,not in wa
3053,not in wa
3079,not in wa
3104,not in wa
3278,not in wa
3290,not in wa
3784,not in wa
3811,not in wa
3821,not in wa
3857,not in wa
4046,not in wa
4083,not in wa
4092,not in wa
4101,not in wa
4102,not in wa
4103,not in wa
4106,not in wa
4107,not in wa
4402,not in wa
5055,not in wa
5075,not in wa
5091,not in wa
5402,not in wa
5482,not in wa
5753,not in wa
5827,not in wa
6019,not in wa
6156,not in wa
6183,not in wa
6268,not in wa
6423,not in wa
6472,not in wa
6510,not in wa
6511,not in wa
6517,not in wa
6611,not in wa
6851,not in wa
6870,not in wa
6877,not in wa
7023,not in wa
7030,not in wa
7040,not in wa
7054,not in wa
7082,not in wa
7302,not in wa
7652,not in wa
7675,not in wa
7704,not in wa
7901,not in wa
7930,not in wa
7936,not in wa
8003,not in wa
8033,not in wa
8063,not in wa
8086,not in wa
8536,not in wa
8540,not in wa
8542,not in wa
8543,not in wa
8625,not in wa
8640,not in wa
8736,not in wa
8753,not in wa
8807,not in wa
8822,not in wa
8889,not in wa
8933,not in wa
9105,not in wa
9266,not in wa
9337,not in wa
9338,not in wa
9371,not in wa
9810,not in wa
10001,not in wa
10003,not in wa
10005,not in wa
10006,not in wa
10007,not in wa
10009,not in wa
10010,not in wa
10011,not in wa
10012,not in wa
10013,not in wa
10014,not in wa
10016,not in wa
10017,not in wa
10019,not in wa
10021,not in wa
10022,not in wa
10023,not in wa
10024,not in wa
10025,not in wa
10026,not in wa
10027,not in wa
10028,not in wa
10034,not in wa
10035,not in wa
10038,not in wa
10280,not in wa
10509,not in wa
10562,not in wa
10570,not in wa
10583,not in wa
10591,not in wa
10605,not in wa
10701,not in wa
10706,not in wa
10710,not in wa
10965,not in wa
10987,not in wa
11030,not in wa
11040,not in wa
11106,not in wa
11109,not in wa
11111,not in wa
11201,not in wa
11205,not in wa
11209,not in wa
11211,not in wa
11215,not in wa
11216,not in wa
11217,not in wa
11218,not in wa
11225,not in wa
11226,not in wa
11231,not in wa
11238,not in wa
11360,not in wa
11373,not in wa
11375,not in wa
11377,not in wa
11385,not in wa
11565,not in wa
11590,not in wa
11704,not in wa
11726,not in wa
11741,not in wa
11753,not in wa
11756,not in wa
11801,not in wa
11933,not in wa
11968,not in wa
12018,not in wa
12103,not in wa
12189,not in wa
12209,not in wa
12210,not in wa
12464,not in wa
12803,not in wa
13057,not in wa
13205,not in wa
13210,not in wa
13220,not in wa
13494,not in wa
13597,not in wa
13646,not in wa
13668,not in wa
13850,not in wa
13945,not in wa
14221,not in wa
14502,not in wa
14534,not in wa
14604,not in wa
14618,not in wa
14619,not in wa
14886,not in wa
14892,not in wa
15221,not in wa
15222,not in wa
15225,not in wa
15445,not in wa
15607,not in wa
16803,not in wa
17801,not in wa
18431,not in wa
18444,not in wa
18829,not in wa
18966,not in wa
19020,not in wa
19046,not in wa
19047,not in wa
19063,not in wa
19067,not in wa
19102,not in wa
19103,not in wa
19104,not in wa
19106,not in wa
19107,not in wa
19112,not in wa
19119,not in wa
19139,not in wa
19143,not in wa
19147,not in wa
19148,not in wa
19444,not in wa
19486,not in wa
19711,not in wa
19850,not in wa
19884,not in wa
19897,not in wa
20001,not in wa
20002,not in wa
20003,not in wa
20004,not in wa
20005,not in wa
20007,not in wa
20008,not in wa
20009,not in wa
20010,not in wa
20011,not in wa
20015,not in wa
20016,not in wa
20017,not in wa
20018,not in wa
20024,not in wa
20036,not in wa
20037,not in wa
20076,not in wa
20109,not in wa
20124,not in wa
20148,not in wa
20151,not in wa
20152,not in wa
20164,not in wa
20165,not in wa
20171,not in wa
20176,not in wa
20189,not in wa
20191,not in wa
20194,not in wa
20549,not in wa
20712,not in wa
20723,not in wa
20737,not in wa
20744,not in wa
20755,not in wa
20759,not in wa
20770,not in wa
20783,not in wa
20814,not in wa
20815,not in wa
20816,not in wa
20817,not in wa
20852,not in wa
20853,not in wa
20854,not in wa
20877,not in wa
20895,not in wa
20901,not in wa
20903,not in wa
20910,not in wa
20912,not in wa
21042,not in wa
21045,not in wa
21076,not in wa
21208,not in wa
21212,not in wa
21218,not in wa
21224,not in wa
21236,not in wa
21239,not in wa
21286,not in wa
21401,not in wa
21403,not in wa
21405,not in wa
21620,not in wa
21629,not in wa
21717,not in wa
22015,not in wa
22024,not in wa
22030,not in wa
22031,not in wa
22032,not in wa
22041,not in wa
22042,not in wa
22044,not in wa
22046,not in wa
22101,not in wa
22102,not in wa
22124,not in wa
22152,not in wa
22153,not in wa
22180,not in wa
22181,not in wa
22193,not in wa
22201,not in wa
22202,not in wa
22203,not in wa
22204,not in wa
22205,not in wa
22207,not in wa
22209,not in wa
22301,not in wa
22302,not in wa
22303,not in wa
22304,not in wa
22307,not in wa
22308,not in wa
22309,not in wa
22314,not in wa
22315,not in wa
22578,not in wa
22602,not in wa
22902,not in wa
23188,not in wa
23223,not in wa
23227,not in wa
23230,not in wa
23235,not in wa
23238,not in wa
23261,not in wa
23285,not in wa
23462,not in wa
23693,not in wa
23759,not in wa
23834,not in wa
26554,not in wa
27102,not in wa
27312,not in wa
27410,not in wa
27513,not in wa
27514,not in wa
27516,not in wa
27517,not in wa
27604,not in wa
27617,not in wa
27701,not in wa
27708,not in wa
27709,not in wa
27913,not in wa
28207,not in wa
28210,not in wa
28273,not in wa
28304,not in wa
28327,not in wa
28376,not in wa
28405,not in wa
28503,not in wa
28712,not in wa
28803,not in wa
28804,not in wa
29129,not in wa
29306,not in wa
29407,not in wa
29631,not in wa
29650,not in wa
29909,not in wa
29910,not in wa
30004,not in wa
30022,not in wa
30033,not in wa
30040,not in wa
30044,not in wa
30067,not in wa
30078,not in wa
30097,not in wa
30114,not in wa
30126,not in wa
30127,not in wa
30160,not in wa
30306,not in wa
30316,not in wa
30319,not in wa
30326,not in wa
30328,not in wa
30329,not in wa
30338,not in wa
30339,not in wa
30341,not in wa
30342,not in wa
30517,not in wa
30750,not in wa
30809,not in wa
31021,not in wa
31904,not in wa
32202,not in wa
32207,not in wa
32225,not in wa
32259,not in wa
32277,not in wa
32308,not in wa
32312,not in wa
32401,not in wa
32413,not in wa
32506,not in wa
32550,not in wa
32566,not in wa
32578,not in wa
32601,not in wa
32653,not in wa
32721,not in wa
32814,not in wa
32960,not in wa
32963,not in wa
33020,not in wa
33027,not in wa
33130,not in wa
33131,not in wa
33139,not in wa
33140,not in wa
33143,not in wa
33305,not in wa
33317,not in wa
33323,not in wa
33355,not in wa
33414,not in wa
33426,not in wa
33432,not in wa
33437,not in wa
33444,not in wa
33483,not in wa
33556,not in wa
33596,not in wa
33622,not in wa
33629,not in wa
33705,not in wa
33813,not in wa
33907,not in wa
34114,not in wa
34134,not in wa
34145,not in wa
34209,not in wa
34228,not in wa
34229,not in wa
34238,not in wa
34293,not in wa
34771,not in wa
35157,not in wa
35203,not in wa
35216,not in wa
35223,not in wa
35243,not in wa
35630,not in wa
35634,not in wa
35763,not in wa
36606,not in wa
37067,not in wa
37122,not in wa
37205,not in wa
37206,not in wa
37211,not in wa
37216,not in wa
37230,not in wa
37830,not in wa
37843,not in wa
37909,not in wa
38018,not in wa
38103,not in wa
38104,not in wa
38115,not in wa
38117,not in wa
38120,not in wa
38138,not in wa
38401,not in wa
40202,not in wa
40223,not in wa
40353,not in wa
40422,not in wa
40502,not in wa
40511,not in wa
41042,not in wa
41050,not in wa
41051,not in wa
43016,not in wa
43017,not in wa
43026,not in wa
43050,not in wa
43212,not in wa
43512,not in wa
44070,not in wa
44111,not in wa
44113,not in wa
44131,not in wa
44311,not in wa
44813,not in wa
45011,not in wa
45018,not in wa
45202,not in wa
45206,not in wa
45214,not in wa
45243,not in wa
45601,not in wa
46033,not in wa
46201,not in wa
46225,not in wa
46268,not in wa
46285,not in wa
46307,not in wa
46311,not in wa
46321,not in wa
46375,not in wa
46755,not in wa
47250,not in wa
47630,not in wa
48065,not in wa
48073,not in wa
48103,not in wa
48104,not in wa
48187,not in wa
48188,not in wa
48197,not in wa
48201,not in wa
48307,not in wa
48324,not in wa
48327,not in wa
48343,not in wa
48390,not in wa
48393,not in wa
48446,not in wa
48641,not in wa
48823,not in wa
48854,not in wa
49009,not in wa
49128,not in wa
49242,not in wa
49266,not in wa
49316,not in wa
49417,not in wa
49512,not in wa
50010,not in wa
50023,not in wa
50323,not in wa
50325,not in wa
50327,not in wa
50588,not in wa
52240,not in wa
52246,not in wa
52302,not in wa
52556,not in wa
52768,not in wa
53029,not in wa
53082,not in wa
53085,not in wa
53121,not in wa
53201,not in wa
53203,not in wa
53207,not in wa
53223,not in wa
53578,not in wa
53593,not in wa
53705,not in wa
54301,not in wa
54311,not in wa
54401,not in wa
54521,not in wa
54971,not in wa
55105,not in wa
55118,not in wa
55122,not in wa
55144,not in wa
55317,not in wa
55328,not in wa
55346,not in wa
55347,not in wa
55379,not in wa
55386,not in wa
55391,not in wa
55402,not in wa
55403,not in wa
55405,not in wa
55407,not in wa
55412,not in wa
55419,not in wa
55423,not in wa
55426,not in wa
55436,not in wa
55437,not in wa
55440,not in wa
55446,not in wa
55479,not in wa
55734,not in wa
55744,not in wa
56003,not in wa
56031,not in wa
56267,not in wa
57067,not in wa
57702,not in wa
58072,not in wa
58104,not in wa
58270,not in wa
58783,not in wa
58801,not in wa
59102,not in wa
59601,not in wa
59602,not in wa
59634,not in wa
59701,not in wa
59703,not in wa
59718,not in wa
59771,not in wa
59801,not in wa
59802,not in wa
59807,not in wa
59808,not in wa
59840,not in wa
59844,not in wa
59901,not in wa
59937,not in wa
60001,not in wa
60004,not in wa
60015,not in wa
60018,not in wa
60044,not in wa
60056,not in wa
60062,not in wa
60064,not in wa
60068,not in wa
60168,not in wa
60174,not in wa
60193,not in wa
60201,not in wa
60202,not in wa
60304,not in wa
60305,not in wa
60403,not in wa
60430,not in wa
60438,not in wa
60467,not in wa
60487,not in wa
60506,not in wa
60523,not in wa
60527,not in wa
60544,not in wa
60585,not in wa
60601,not in wa
60603,not in wa
60604,not in wa
60605,not in wa
60606,not in wa
60607,not in wa
60608,not in wa
60611,not in wa
60614,not in wa
60615,not in wa
60618,not in wa
60625,not in wa
60631,not in wa
60640,not in wa
60642,not in wa
60645,not in wa
60647,not in wa
60652,not in wa
60653,not in wa
60654,not in wa
60657,not in wa
60660,not in wa
60661,not in wa
62220,not in wa
62265,not in wa
62301,not in wa
62401,not in wa
63005,not in wa
63105,not in wa
63118,not in wa
63121,not in wa
63131,not in wa
63132,not in wa
63141,not in wa
63167,not in wa
63178,not in wa
63183,not in wa
64030,not in wa
64105,not in wa
64108,not in wa
64116,not in wa
65240,not in wa
65803,not in wa
66027,not in wa
66049,not in wa
66064,not in wa
66205,not in wa
66225,not in wa
66762,not in wa
67702,not in wa
68025,not in wa
68114,not in wa
68154,not in wa
68179,not in wa
68502,not in wa
68649,not in wa
68970,not in wa
70000,not in wa
70002,not in wa
70115,not in wa
70117,not in wa
70124,not in wa
70130,not in wa
70131,not in wa
70360,not in wa
70448,not in wa
70767,not in wa
70791,not in wa
70808,not in wa
70816,not in wa
71111,not in wa
71360,not in wa
71446,not in wa
72115,not in wa
72207,not in wa
72712,not in wa
72716,not in wa
73162,not in wa
74105,not in wa
74121,not in wa
75006,not in wa
75025,not in wa
75028,not in wa
75034,not in wa
75035,not in wa
75038,not in wa
75061,not in wa
75062,not in wa
75070,not in wa
75082,not in wa
75131,not in wa
75201,not in wa
75202,not in wa
75204,not in wa
75206,not in wa
75209,not in wa
75214,not in wa
75219,not in wa
75230,not in wa
75771,not in wa
75904,not in wa
76010,not in wa
76012,not in wa
76022,not in wa
76102,not in wa
76106,not in wa
76121,not in wa
76131,not in wa
76134,not in wa
76161,not in wa
76207,not in wa
76504,not in wa
76633,not in wa
77002,not in wa
77005,not in wa
77006,not in wa
77013,not in wa
77018,not in wa
77019,not in wa
77024,not in wa
77027,not in wa
77043,not in wa
77067,not in wa
77079,not in wa
77096,not in wa
77098,not in wa
77207,not in wa
77210,not in wa
77233,not in wa
77253,not in wa
77284,not in wa
77380,not in wa
77401,not in wa
77450,not in wa
77479,not in wa
77571,not in wa
77584,not in wa
78015,not in wa
78108,not in wa
78131,not in wa
78159,not in wa
78205,not in wa
78217,not in wa
78218,not in wa
78247,not in wa
78259,not in wa
78265,not in wa
78288,not in wa
78414,not in wa
78605,not in wa
78613,not in wa
78645,not in wa
78660,not in wa
78701,not in wa
78704,not in wa
78705,not in wa
78730,not in wa
78738,not in wa
78750,not in wa
78759,not in wa
79606,not in wa
79998,not in wa
80010,not in wa
80011,not in wa
80012,not in wa
80013,not in wa
80015,not in wa
80023,not in wa
80027,not in wa
80064,not in wa
80107,not in wa
80110,not in wa
80111,not in wa
80128,not in wa
80129,not in wa
80134,not in wa
80155,not in wa
